,String,Word Count,Good,Bad,Percent Indication
164,ch.com,2977,2036,941,68.39099764863957
165,comcast.net,389,123,266,68.38046272493574
166,ning.com,425,283,142,66.58823529411765
167,search.com,1289,841,448,65.244375484872
168,al.com,8933,3263,5670,63.4725176312549
169,box.com,292,184,108,63.013698630136986
170,as.com,1319,496,823,62.39575435936315
171,ca.com,1152,702,450,60.9375
172,india.com,275,165,110,60.0
173,inc.com,570,337,233,59.122807017543856
174,mail.com,388,222,166,57.21649484536082
175,ign.com,775,430,345,55.483870967741936
176,oup.com,843,386,457,54.21115065243179
177,shop.com,388,210,178,54.123711340206185
178,ba.com,454,218,236,51.98237885462555
179,care.com,323,164,159,50.77399380804953
180,ting.com,856,424,432,50.467289719626166
