,String,Word Count,Good,Bad,Percent Indication
134,jean,1201,1149,52,95.67027477102414
135,john,2557,2393,164,93.58623386781385
135,john,2557,2393,164,93.58623386781385
136,his,5837,5434,403,93.0957683741648
137,jam,1919,1770,149,92.23553934340802
138,review,4248,3903,345,91.87853107344633
139,news,13961,12678,1283,90.81011388868993
140,ties,3999,3614,385,90.37259314828707
141,kan,4174,3703,471,88.7158600862482
142,war,7804,6922,882,88.69810353664788
143,rob,3324,2937,387,88.35740072202167
144,sea,11015,9580,1435,86.97231048570131
145,all,26318,22807,3511,86.65932061706818
146,unit,2515,2168,347,86.2027833001988
147,lea,7388,6295,1093,85.20573903627505
148,nat,7366,6226,1140,84.52348628835189
149,gar,3311,2744,567,82.8752642706131
150,nor,3696,3051,645,82.5487012987013
151,cal,9661,7932,1729,82.10330193561744
152,roy,2033,1657,376,81.50516478111166
153,mac,2977,2337,640,78.50184749748068
154,for,23351,17226,6125,73.76985996317075
155,fra,4006,2950,1056,73.63954068896655
156,light,1233,149,1084,87.91565288
157,paypal,9371,1,9370,99.98932878027959
158,disney,725,705,20,97.24137931034483
159,amazon,5428,5272,156,97.12601326455416
160,craigslist,411,398,13,96.83698296836984
161,.edu,10967,10457,510,95.34968541989605
162,login,20976,90,20886,99.57093821510297
163,bio,4504,4199,305,93.22824156305506
164,it,80258,57572,22686,71.73365894988662
165,login,20976,90,20886,99.57093821510297
166,com,384768,295072,89696,76.68829008649368
167,en,132148,97453,34695,73.74534612706965
168,cgi-bin,4139,1173,2966,71.65982121285334
169,verification,772,4,768,99.48186528497409
170,index,30758,14257,16501,53.647831458482344
171,php?cmd,2499,4,2495,99.83993597438976
172,p,340400,230722,109678,67.77967097532314
173,gen,10507,8807,1700,83.82031026934425
174,0,152196,105131,47065,69.07605981760362
175,5,105515,62438,43077,59.174524949059375
176,www,55228,31499,23729,57.03447526616934
177,paypal,9371,1,9370,99.98932878027959
178,co,411440,310042,101398,75.35533735174023
179,uk,14620,9109,5511,62.30506155950752
180,cycgi-bin,100,0,100,100.0
181,webscrcmd,402,0,402,100.0
182,1,165867,113581,52286,68.47715338192648
183,loading,176,8,168,95.45454545454545
184,php,53785,16976,36809,68.43729664404574
185,cgi,8687,2751,5936,68.33199033037873
186,bin,8828,2736,6092,69.00770276393294
187,herf,127,52,75,59.05511811023622
188,secure,5332,115,5217,97.84321080270068
189,center,1987,1338,649,67.3376950176145
190,update,4674,274,4400,94.13778348309799
191,limit,726,278,448,61.70798898071625
192,mail,6793,942,5851,86.13278374797585
193,online,6149,3179,2970,51.6994633273703
194,html,89139,72936,16203,81.82277117759904
195,wp-content,6110,6,6104,99.90180032733224
196,themes,2229,57,2172,97.442799461642
197,includes,5047,16,5031,99.68297998811175
198,temp,2410,839,1571,65.18672199170125
199,org,54319,47288,7031,87.05609455255068
200,v1,736,187,549,74.59239130434783
201,js,9165,1685,7480,81.61483906164757
202,do,35850,20195,15655,56.331938633193865
203,l,411510,296762,114748,72.11537994216422
204,popular,163,115,48,70.5521472392638
205,info,14343,6777,7566,52.7504706128425
206,docs,2455,1106,1349,54.94908350305499
207,_id,2285,2022,263,88.49015317286653
